Gene stable ID,Transcript stable ID,UniProtKB/TrEMBL ID
GSBRNA2T00141941001,CDX84665,
GSBRNA2T00141962001,CDX84682,
GSBRNA2T00141823001,CDX84569,
GSBRNA2T00142069001,CDX84776,
GSBRNA2T00142149001,CDX84836,
GSBRNA2T00141905001,CDX84634,
GSBRNA2T00141839001,CDX84582,
GSBRNA2T00142190001,CDX84869,
GSBRNA2T00142113001,CDX84811,
GSBRNA2T00141986001,CDX84705,
GSBRNA2T00141887001,CDX84619,
GSBRNA2T00142168001,CDX84851,
GSBRNA2T00142136001,CDX84824,
GSBRNA2T00141930001,CDX84654,A0A078FWB8
GSBRNA2T00142155001,CDX84840,
GSBRNA2T00142017001,CDX84732,
GSBRNA2T00142172001,CDX84855,
GSBRNA2T00142145001,CDX84833,
GSBRNA2T00142148001,CDX84835,
GSBRNA2T00141870001,CDX84606,
GSBRNA2T00141796001,CDX84548,
GSBRNA2T00141836001,CDX84579,
GSBRNA2T00142009001,CDX84724,
GSBRNA2T00142217001,CDX84893,
GSBRNA2T00141970001,CDX84690,
GSBRNA2T00142134001,CDX84822,
GSBRNA2T00141937001,CDX84661,
GSBRNA2T00141918001,CDX84647,
GSBRNA2T00141975001,CDX84695,
GSBRNA2T00142196001,CDX84873,
GSBRNA2T00141949001,CDX84671,
GSBRNA2T00141865001,CDX84603,
GSBRNA2T00142170001,CDX84853,
GSBRNA2T00141792001,CDX84546,
GSBRNA2T00141829001,CDX84573,
GSBRNA2T00141851001,CDX84592,
GSBRNA2T00141936001,CDX84660,
GSBRNA2T00142107001,CDX84807,
GSBRNA2T00141866001,CDX84604,
GSBRNA2T00142002001,CDX84718,
GSBRNA2T00141875001,CDX84611,
GSBRNA2T00142191001,CDX84870,
GSBRNA2T00141802001,CDX84552,
GSBRNA2T00142058001,CDX84766,
GSBRNA2T00141906001,CDX84635,
GSBRNA2T00141890001,CDX84622,
GSBRNA2T00141826001,CDX84572,
GSBRNA2T00142166001,CDX84849,
GSBRNA2T00141846001,CDX84587,
GSBRNA2T00141976001,CDX84696,
GSBRNA2T00141821001,CDX84567,
GSBRNA2T00142046001,CDX84755,
GSBRNA2T00141830001,CDX84574,
GSBRNA2T00141897001,CDX84627,
GSBRNA2T00141855001,CDX84595,
GSBRNA2T00142063001,CDX84770,
GSBRNA2T00141892001,CDX84624,
GSBRNA2T00142076001,CDX84783,A0A078GBU7
GSBRNA2T00142202001,CDX84879,
GSBRNA2T00142197001,CDX84874,
GSBRNA2T00142152001,CDX84838,
GSBRNA2T00142022001,CDX84737,
GSBRNA2T00141862001,CDX84601,
GSBRNA2T00141791001,CDX84545,
GSBRNA2T00142110001,CDX84809,A0A0F6WBE5
GSBRNA2T00142110001,CDX84809,A0A078D911
GSBRNA2T00141889001,CDX84621,
GSBRNA2T00142176001,CDX84859,
GSBRNA2T00142138001,CDX84826,
GSBRNA2T00142100001,CDX84802,
GSBRNA2T00142050001,CDX84759,
GSBRNA2T00142007001,CDX84722,
GSBRNA2T00142199001,CDX84876,
GSBRNA2T00141844001,CDX84585,
GSBRNA2T00141960001,CDX84680,
GSBRNA2T00142031001,CDX84744,
GSBRNA2T00141818001,CDX84564,
GSBRNA2T00142211001,CDX84888,
GSBRNA2T00142204001,CDX84881,
GSBRNA2T00142052001,CDX84761,
GSBRNA2T00142016001,CDX84731,
GSBRNA2T00141980001,CDX84700,
GSBRNA2T00141997001,CDX84714,
GSBRNA2T00141919001,CDX84648,
GSBRNA2T00141806001,CDX84555,
GSBRNA2T00141988001,CDX84707,
GSBRNA2T00141991001,CDX84710,
GSBRNA2T00142068001,CDX84775,
GSBRNA2T00142064001,CDX84771,
GSBRNA2T00141940001,CDX84664,
GSBRNA2T00141848001,CDX84589,
GSBRNA2T00142070001,CDX84777,
GSBRNA2T00142220001,CDX84895,
GSBRNA2T00142093001,CDX84796,
GSBRNA2T00141908001,CDX84637,
GSBRNA2T00142015001,CDX84730,
GSBRNA2T00142026001,CDX84740,
GSBRNA2T00141924001,CDX84652,
GSBRNA2T00142200001,CDX84877,
GSBRNA2T00142027001,CDX84741,
GSBRNA2T00141917001,CDX84646,
GSBRNA2T00142090001,CDX84794,
GSBRNA2T00142103001,CDX84804,
GSBRNA2T00142057001,CDX84765,
GSBRNA2T00141911001,CDX84640,
GSBRNA2T00141808001,CDX84556,
GSBRNA2T00141835001,CDX84578,
GSBRNA2T00141983001,CDX84702,
GSBRNA2T00142175001,CDX84858,
GSBRNA2T00141899001,CDX84628,
GSBRNA2T00141990001,CDX84709,
GSBRNA2T00141799001,CDX84550,
GSBRNA2T00141816001,CDX84562,
GSBRNA2T00141852001,CDX84593,
GSBRNA2T00141979001,CDX84699,
GSBRNA2T00142097001,CDX84800,
GSBRNA2T00142019001,CDX84734,
GSBRNA2T00142163001,CDX84847,
GSBRNA2T00141969001,CDX84689,
GSBRNA2T00142003001,CDX84719,
GSBRNA2T00141965001,CDX84685,
GSBRNA2T00142161001,CDX84845,
GSBRNA2T00141797001,CDX84549,
GSBRNA2T00141803001,CDX84553,
GSBRNA2T00141847001,CDX84588,
GSBRNA2T00141907001,CDX84636,
GSBRNA2T00141861001,CDX84600,
GSBRNA2T00142023001,CDX84738,
GSBRNA2T00141888001,CDX84620,
GSBRNA2T00141971001,CDX84691,
GSBRNA2T00141860001,CDX84599,
GSBRNA2T00141913001,CDX84642,
GSBRNA2T00142074001,CDX84781,
GSBRNA2T00142010001,CDX84725,
GSBRNA2T00141900001,CDX84629,
GSBRNA2T00142094001,CDX84797,
GSBRNA2T00141895001,CDX84626,
GSBRNA2T00141953001,CDX84675,
GSBRNA2T00142096001,CDX84799,
GSBRNA2T00141872001,CDX84608,
GSBRNA2T00141921001,CDX84650,
GSBRNA2T00141815001,CDX84561,
GSBRNA2T00142177001,CDX84860,
GSBRNA2T00142056001,CDX84764,
GSBRNA2T00141932001,CDX84656,
GSBRNA2T00142218001,CDX84894,
GSBRNA2T00142205001,CDX84882,
GSBRNA2T00141920001,CDX84649,
GSBRNA2T00141942001,CDX84666,
GSBRNA2T00141853001,CDX84594,
GSBRNA2T00141952001,CDX84674,
GSBRNA2T00142012001,CDX84727,
GSBRNA2T00142158001,CDX84842,
GSBRNA2T00142011001,CDX84726,
GSBRNA2T00141885001,CDX84617,A0A078D634
GSBRNA2T00141877001,CDX84613,A0A078JMK6
GSBRNA2T00142005001,CDX84720,
GSBRNA2T00141824001,CDX84570,
GSBRNA2T00142128001,CDX84819,
GSBRNA2T00141958001,CDX84678,
GSBRNA2T00141912001,CDX84641,
GSBRNA2T00141923001,CDX84651,
GSBRNA2T00142033001,CDX84745,
GSBRNA2T00142048001,CDX84757,
GSBRNA2T00142039001,CDX84748,
GSBRNA2T00141858001,CDX84597,
GSBRNA2T00141943001,CDX84667,
GSBRNA2T00141998001,CDX84715,
GSBRNA2T00142082001,CDX84788,A0A078GF28
GSBRNA2T00142216001,CDX84892,
GSBRNA2T00141929001,CDX84653,
GSBRNA2T00142105001,CDX84805,
GSBRNA2T00142080001,CDX84787,
GSBRNA2T00142208001,CDX84885,
GSBRNA2T00141935001,CDX84659,
GSBRNA2T00141964001,CDX84684,
GSBRNA2T00142106001,CDX84806,
GSBRNA2T00141931001,CDX84655,
GSBRNA2T00141989001,CDX84708,
GSBRNA2T00141874001,CDX84610,
GSBRNA2T00141914001,CDX84643,
GSBRNA2T00141967001,CDX84687,
GSBRNA2T00142041001,CDX84750,
GSBRNA2T00142095001,CDX84798,
GSBRNA2T00141812001,CDX84559,
GSBRNA2T00142162001,CDX84846,
GSBRNA2T00142085001,CDX84791,
GSBRNA2T00142171001,CDX84854,
GSBRNA2T00142065001,CDX84772,D7RV80
GSBRNA2T00142065001,CDX84772,D7RV79
GSBRNA2T00141882001,CDX84615,
GSBRNA2T00141946001,CDX84669,
GSBRNA2T00142210001,CDX84887,
GSBRNA2T00142077001,CDX84784,
GSBRNA2T00141974001,CDX84694,
GSBRNA2T00141831001,CDX84575,
GSBRNA2T00141993001,CDX84711,
GSBRNA2T00142137001,CDX84825,
GSBRNA2T00142178001,CDX84861,
GSBRNA2T00142118001,CDX84814,
GSBRNA2T00141859001,CDX84598,
GSBRNA2T00142034001,CDX84746,
GSBRNA2T00142207001,CDX84884,
GSBRNA2T00142187001,CDX84867,Q8W001
GSBRNA2T00141809001,CDX84557,A0A078D5Z0
GSBRNA2T00141833001,CDX84577,
GSBRNA2T00142073001,CDX84780,
GSBRNA2T00142084001,CDX84790,
GSBRNA2T00141864001,CDX84602,
GSBRNA2T00142135001,CDX84823,
GSBRNA2T00141902001,CDX84631,
GSBRNA2T00142006001,CDX84721,
GSBRNA2T00142198001,CDX84875,
GSBRNA2T00142018001,CDX84733,
GSBRNA2T00141819001,CDX84565,
GSBRNA2T00142201001,CDX84878,A0A078DC56
GSBRNA2T00142143001,CDX84831,
GSBRNA2T00142141001,CDX84829,
GSBRNA2T00142055001,CDX84763,
GSBRNA2T00141868001,CDX84605,
GSBRNA2T00141944001,CDX84668,
GSBRNA2T00142087001,CDX84792,
GSBRNA2T00142021001,CDX84736,
GSBRNA2T00142213001,CDX84890,
GSBRNA2T00141934001,CDX84658,
GSBRNA2T00142174001,CDX84857,
GSBRNA2T00142154001,CDX84839,
GSBRNA2T00142066001,CDX84773,
GSBRNA2T00142144001,CDX84832,
GSBRNA2T00142001001,CDX84717,
GSBRNA2T00142165001,CDX84848,
GSBRNA2T00142124001,CDX84818,
GSBRNA2T00142025001,CDX84739,
GSBRNA2T00141873001,CDX84609,
GSBRNA2T00141982001,CDX84701,
GSBRNA2T00142062001,CDX84769,
GSBRNA2T00142133001,CDX84821,
GSBRNA2T00141939001,CDX84663,
GSBRNA2T00142083001,CDX84789,
GSBRNA2T00141987001,CDX84706,
GSBRNA2T00142181001,CDX84863,
GSBRNA2T00142067001,CDX84774,
GSBRNA2T00142203001,CDX84880,
GSBRNA2T00142051001,CDX84760,
GSBRNA2T00141916001,CDX84645,
GSBRNA2T00142109001,CDX84808,A0A0U1XJJ3
GSBRNA2T00142020001,CDX84735,
GSBRNA2T00142167001,CDX84850,
GSBRNA2T00141995001,CDX84713,
GSBRNA2T00142159001,CDX84843,
GSBRNA2T00141801001,CDX84551,
GSBRNA2T00142119001,CDX84815,
GSBRNA2T00141961001,CDX84681,
GSBRNA2T00142049001,CDX84758,Q4QY54
GSBRNA2T00142049001,CDX84758,W8R452
GSBRNA2T00142122001,CDX84817,
GSBRNA2T00142206001,CDX84883,
GSBRNA2T00141985001,CDX84704,
GSBRNA2T00142040001,CDX84749,
GSBRNA2T00142139001,CDX84827,
GSBRNA2T00142075001,CDX84782,
GSBRNA2T00142060001,CDX84767,
GSBRNA2T00141909001,CDX84638,
GSBRNA2T00141972001,CDX84692,
GSBRNA2T00141978001,CDX84698,
GSBRNA2T00142182001,CDX84864,
GSBRNA2T00141963001,CDX84683,
GSBRNA2T00142102001,CDX84803,
GSBRNA2T00141838001,CDX84581,
GSBRNA2T00141910001,CDX84639,
GSBRNA2T00141814001,CDX84560,
GSBRNA2T00142185001,CDX84866,
GSBRNA2T00141876001,CDX84612,
GSBRNA2T00141856001,CDX84596,
GSBRNA2T00141840001,CDX84583,
GSBRNA2T00141871001,CDX84607,
GSBRNA2T00141884001,CDX84616,
GSBRNA2T00142071001,CDX84778,
GSBRNA2T00142160001,CDX84844,
GSBRNA2T00141805001,CDX84554,
GSBRNA2T00142173001,CDX84856,
GSBRNA2T00142053001,CDX84762,
GSBRNA2T00141794001,CDX84547,
GSBRNA2T00142142001,CDX84830,
GSBRNA2T00142098001,CDX84801,
GSBRNA2T00142008001,CDX84723,
GSBRNA2T00141817001,CDX84563,
GSBRNA2T00142140001,CDX84828,
GSBRNA2T00142169001,CDX84852,
GSBRNA2T00142194001,CDX84872,
GSBRNA2T00142117001,CDX84813,
GSBRNA2T00142045001,CDX84754,
GSBRNA2T00141938001,CDX84662,
GSBRNA2T00141951001,CDX84673,
GSBRNA2T00142061001,CDX84768,
GSBRNA2T00141994001,CDX84712,
GSBRNA2T00141837001,CDX84580,
GSBRNA2T00141894001,CDX84625,
GSBRNA2T00142131001,CDX84820,
GSBRNA2T00141901001,CDX84630,
GSBRNA2T00141959001,CDX84679,
GSBRNA2T00141822001,CDX84568,
GSBRNA2T00141820001,CDX84566,
GSBRNA2T00141811001,CDX84558,
GSBRNA2T00141832001,CDX84576,
GSBRNA2T00142013001,CDX84728,
GSBRNA2T00142192001,CDX84871,I1Z943
GSBRNA2T00142089001,CDX84793,
GSBRNA2T00142079001,CDX84786,
GSBRNA2T00141933001,CDX84657,
GSBRNA2T00142189001,CDX84868,Q6SZ76
GSBRNA2T00141968001,CDX84688,
GSBRNA2T00141956001,CDX84676,
GSBRNA2T00017065001,CDY71542,A0A078K0W0
GSBRNA2T00097669001,CDY70275,A0A078JV25
GSBRNA2T00133107001,CDX80180,
GSBRNA2T00133321001,CDX80310,
GSBRNA2T00133390001,CDX80343,
GSBRNA2T00133112001,CDX80181,
GSBRNA2T00133151001,CDX80207,
GSBRNA2T00133093001,CDX80171,
GSBRNA2T00133279001,CDX80282,
GSBRNA2T00133343001,CDX80321,
GSBRNA2T00133286001,CDX80287,
GSBRNA2T00133257001,CDX80274,
GSBRNA2T00133159001,CDX80212,
GSBRNA2T00133212001,CDX80243,
GSBRNA2T00133156001,CDX80210,
GSBRNA2T00133092001,CDX80170,
GSBRNA2T00133210001,CDX80242,
GSBRNA2T00133204001,CDX80237,
GSBRNA2T00133341001,CDX80320,
GSBRNA2T00133090001,CDX80169,
GSBRNA2T00133229001,CDX80255,
GSBRNA2T00133397001,CDX80346,
GSBRNA2T00133254001,CDX80271,
GSBRNA2T00133176001,CDX80225,
GSBRNA2T00133196001,CDX80232,
GSBRNA2T00133167001,CDX80218,
GSBRNA2T00133330001,CDX80316,
GSBRNA2T00133402001,CDX80349,
GSBRNA2T00133197001,CDX80233,
GSBRNA2T00133137001,CDX80196,
GSBRNA2T00133225001,CDX80251,
GSBRNA2T00133133001,CDX80193,
GSBRNA2T00133162001,CDX80214,
GSBRNA2T00133315001,CDX80307,
GSBRNA2T00133116001,CDX80183,
GSBRNA2T00133166001,CDX80217,
GSBRNA2T00133249001,CDX80268,
GSBRNA2T00133395001,CDX80345,
GSBRNA2T00133277001,CDX80280,
GSBRNA2T00133309001,CDX80301,
GSBRNA2T00133131001,CDX80192,
GSBRNA2T00133282001,CDX80283,
GSBRNA2T00133294001,CDX80292,
GSBRNA2T00133373001,CDX80336,
GSBRNA2T00133139001,CDX80198,
GSBRNA2T00133083001,CDX80164,
GSBRNA2T00133288001,CDX80289,
GSBRNA2T00133276001,CDX80279,
GSBRNA2T00133253001,CDX80270,
GSBRNA2T00133219001,CDX80247,
GSBRNA2T00133344001,CDX80322,
GSBRNA2T00133412001,CDX80353,
GSBRNA2T00133089001,CDX80168,
GSBRNA2T00133096001,CDX80174,
GSBRNA2T00133295001,CDX80293,
GSBRNA2T00133411001,CDX80352,
GSBRNA2T00133073001,CDX80156,
GSBRNA2T00133244001,CDX80263,
GSBRNA2T00133099001,CDX80177,
GSBRNA2T00133228001,CDX80254,
GSBRNA2T00133248001,CDX80267,
GSBRNA2T00133169001,CDX80220,
GSBRNA2T00133285001,CDX80286,
GSBRNA2T00133331001,CDX80317,
GSBRNA2T00133136001,CDX80195,
GSBRNA2T00133079001,CDX80160,
GSBRNA2T00133208001,CDX80241,
GSBRNA2T00133307001,CDX80299,
GSBRNA2T00133378001,CDX80337,
GSBRNA2T00133255001,CDX80272,
GSBRNA2T00133172001,CDX80222,
GSBRNA2T00133160001,CDX80213,
GSBRNA2T00133246001,CDX80265,
GSBRNA2T00133173001,CDX80223,
GSBRNA2T00133113001,CDX80182,
GSBRNA2T00133311001,CDX80303,
GSBRNA2T00133206001,CDX80239,
GSBRNA2T00133239001,CDX80258,
GSBRNA2T00133340001,CDX80319,
GSBRNA2T00133232001,CDX80256,
GSBRNA2T00133371001,CDX80334,
GSBRNA2T00133218001,CDX80246,
GSBRNA2T00133149001,CDX80206,
GSBRNA2T00133147001,CDX80204,
GSBRNA2T00133205001,CDX80238,
GSBRNA2T00133292001,CDX80290,
GSBRNA2T00133275001,CDX80278,
GSBRNA2T00133226001,CDX80252,
GSBRNA2T00133224001,CDX80250,
GSBRNA2T00133081001,CDX80162,
GSBRNA2T00133326001,CDX80314,
GSBRNA2T00133158001,CDX80211,
GSBRNA2T00133098001,CDX80176,
GSBRNA2T00133148001,CDX80205,
GSBRNA2T00133097001,CDX80175,
GSBRNA2T00133119001,CDX80184,
GSBRNA2T00133120001,CDX80185,
GSBRNA2T00133268001,CDX80276,
GSBRNA2T00133320001,CDX80309,
GSBRNA2T00133299001,CDX80295,
GSBRNA2T00133346001,CDX80323,
GSBRNA2T00133403001,CDX80350,
GSBRNA2T00133347001,CDX80324,
GSBRNA2T00133368001,CDX80333,
GSBRNA2T00133283001,CDX80284,
GSBRNA2T00133121001,CDX80186,
GSBRNA2T00133082001,CDX80163,
GSBRNA2T00133324001,CDX80312,
GSBRNA2T00133170001,CDX80221,A0A078F818
GSBRNA2T00133154001,CDX80209,A0A078JM72
GSBRNA2T00133124001,CDX80187,
GSBRNA2T00133106001,CDX80179,
GSBRNA2T00133077001,CDX80159,
GSBRNA2T00133080001,CDX80161,
GSBRNA2T00133240001,CDX80259,
GSBRNA2T00133126001,CDX80188,
GSBRNA2T00133213001,CDX80244,
GSBRNA2T00133177001,CDX80226,
GSBRNA2T00133258001,CDX80275,
GSBRNA2T00133304001,CDX80297,
GSBRNA2T00133182001,CDX80228,
GSBRNA2T00133355001,CDX80330,
GSBRNA2T00133140001,CDX80199,
GSBRNA2T00133284001,CDX80285,
GSBRNA2T00133087001,CDX80167,
GSBRNA2T00133237001,CDX80257,
GSBRNA2T00133332001,CDX80318,
GSBRNA2T00133325001,CDX80313,
GSBRNA2T00133293001,CDX80291,
GSBRNA2T00133164001,CDX80216,
GSBRNA2T00133372001,CDX80335,
GSBRNA2T00133389001,CDX80342,
GSBRNA2T00133319001,CDX80308,
GSBRNA2T00133074001,CDX80157,
GSBRNA2T00133247001,CDX80266,
GSBRNA2T00133386001,CDX80340,A0A078ISV4
GSBRNA2T00133129001,CDX80191,
GSBRNA2T00133312001,CDX80304,
GSBRNA2T00133127001,CDX80189,
GSBRNA2T00133357001,CDX80331,
GSBRNA2T00133153001,CDX80208,
GSBRNA2T00133145001,CDX80203,
GSBRNA2T00133076001,CDX80158,
GSBRNA2T00133179001,CDX80227,
GSBRNA2T00133142001,CDX80200,
GSBRNA2T00133094001,CDX80172,
GSBRNA2T00133399001,CDX80347,A0A078JP59
GSBRNA2T00133256001,CDX80273,
GSBRNA2T00133349001,CDX80325,
GSBRNA2T00133271001,CDX80277,
GSBRNA2T00133303001,CDX80296,
GSBRNA2T00133306001,CDX80298,
GSBRNA2T00133313001,CDX80305,
GSBRNA2T00133388001,CDX80341,
GSBRNA2T00133193001,CDX80230,
GSBRNA2T00133199001,CDX80235,
GSBRNA2T00133245001,CDX80264,
GSBRNA2T00133310001,CDX80302,
GSBRNA2T00133221001,CDX80249,
GSBRNA2T00133086001,CDX80166,
GSBRNA2T00133143001,CDX80201,
GSBRNA2T00133207001,CDX80240,
GSBRNA2T00133243001,CDX80262,
GSBRNA2T00133278001,CDX80281,
GSBRNA2T00133175001,CDX80224,
GSBRNA2T00133287001,CDX80288,
GSBRNA2T00133400001,CDX80348,
GSBRNA2T00133084001,CDX80165,
GSBRNA2T00133194001,CDX80231,
GSBRNA2T00133384001,CDX80338,
GSBRNA2T00133353001,CDX80328,
GSBRNA2T00133393001,CDX80344,
GSBRNA2T00133296001,CDX80294,
GSBRNA2T00133358001,CDX80332,
GSBRNA2T00133385001,CDX80339,
GSBRNA2T00133168001,CDX80219,A0A078H272
GSBRNA2T00133328001,CDX80315,
GSBRNA2T00133128001,CDX80190,
GSBRNA2T00133163001,CDX80215,
GSBRNA2T00133408001,CDX80351,
GSBRNA2T00133216001,CDX80245,
GSBRNA2T00133100001,CDX80178,
GSBRNA2T00133134001,CDX80194,
GSBRNA2T00133220001,CDX80248,
GSBRNA2T00133201001,CDX80236,
GSBRNA2T00133241001,CDX80260,A0A078H376
GSBRNA2T00133227001,CDX80253,
GSBRNA2T00133242001,CDX80261,
GSBRNA2T00133308001,CDX80300,
GSBRNA2T00133323001,CDX80311,
GSBRNA2T00133351001,CDX80327,
GSBRNA2T00133187001,CDX80229,
GSBRNA2T00133251001,CDX80269,
GSBRNA2T00133416001,CDX80355,
GSBRNA2T00133198001,CDX80234,
GSBRNA2T00133314001,CDX80306,
GSBRNA2T00133095001,CDX80173,Q3HM22
GSBRNA2T00133350001,CDX80326,
GSBRNA2T00133354001,CDX80329,
GSBRNA2T00133138001,CDX80197,
GSBRNA2T00133144001,CDX80202,
GSBRNA2T00133414001,CDX80354,
GSBRNA2T00078326001,CDY13877,A0A078FLL4
GSBRNA2T00078272001,CDY13827,A0A078FLF6
GSBRNA2T00078274001,CDY13829,A0A078FLN4
GSBRNA2T00078226001,CDY13789,A0A078FLJ0
GSBRNA2T00078249001,CDY13808,A0A078FN68
GSBRNA2T00078315001,CDY13867,A0A078FLK1
GSBRNA2T00078265001,CDY13822,A0A078FLF2
GSBRNA2T00078177001,CDY13744,A0A078FLE2
GSBRNA2T00078255001,CDY13814,A0A078FLL3
GSBRNA2T00078292001,CDY13845,A0A078FHD5
GSBRNA2T00078341001,CDY13889,A0A078FLU4
GSBRNA2T00078306001,CDY13859,A0A078FLR4
GSBRNA2T00078194001,CDY13761,Q69G85
GSBRNA2T00078194001,CDY13761,A0A078FKS5
GSBRNA2T00078247001,CDY13806,A0A078FKY0
GSBRNA2T00078330001,CDY13880,A0A078FHG7
GSBRNA2T00078348001,CDY13895,A0A078FHI1
GSBRNA2T00078246001,CDY13805,A0A078FH90
GSBRNA2T00078244001,CDY13804,A0A078FLK4
GSBRNA2T00078252001,CDY13811,A0A078FKY5
GSBRNA2T00078311001,CDY13863,A0A078FNC9
GSBRNA2T00078195001,CDY13762,A0A078FL92
GSBRNA2T00078186001,CDY13753,A0A078FN08
GSBRNA2T00078346001,CDY13893,A0A078FNG5
GSBRNA2T00078291001,CDY13844,A0A078FLQ1
GSBRNA2T00078224001,CDY13787,A0A078FLB5
GSBRNA2T00078193001,CDY13760,A0A078FH58
GSBRNA2T00078185001,CDY13752,A0A078FL83
GSBRNA2T00078301001,CDY13854,Q9M660
GSBRNA2T00078192001,CDY13759,A0A078FLF4
GSBRNA2T00078178001,CDY13745,A0A078FH44
GSBRNA2T00078319001,CDY13870,A0A078JF23
GSBRNA2T00078286001,CDY13839,A0A078FLP7
GSBRNA2T00078251001,CDY13810,A0A078FH94
GSBRNA2T00078243001,CDY13803,A0A078FN64
GSBRNA2T00078334001,CDY13883,A0A078FNF3
GSBRNA2T00078165001,CDY13734,A0A078JD38
GSBRNA2T00078282001,CDY13835,A0A078FHC3
GSBRNA2T00078297001,CDY13850,A0A078CXU5
GSBRNA2T00078253001,CDY13812,A0A078FLD7
GSBRNA2T00078323001,CDY13874,A0A078FLS7
GSBRNA2T00078322001,CDY13873,A0A078FNE4
GSBRNA2T00078321001,CDY13872,A0A078FLK8
GSBRNA2T00078276001,CDY13831,A0A078CYX5
GSBRNA2T00078203001,CDY13770,A0A078FH65
GSBRNA2T00078188001,CDY13755,A0A078FH53
GSBRNA2T00078320001,CDY13871,A0A078FL60
GSBRNA2T00078310001,CDY13862,A0A078FLJ4
GSBRNA2T00078204001,CDY13771,A0A078FKT8
GSBRNA2T00078283001,CDY13836,A0A078FL20
GSBRNA2T00078215001,CDY13779,A0A078FLH6
GSBRNA2T00078170001,CDY13738,A0A078FMZ7
GSBRNA2T00078254001,CDY13813,Q6JV12
GSBRNA2T00078335001,CDY13884,A0A078FLT7
GSBRNA2T00078332001,CDY13881,A0A078FL73
GSBRNA2T00078180001,CDY13747,A0A078FL79
GSBRNA2T00078196001,CDY13763,A0A078FN21
GSBRNA2T00078325001,CDY13876,A0A078FL66
GSBRNA2T00078200001,CDY13767,A0A078FL95
GSBRNA2T00078343001,CDY13891,A0A078FL86
GSBRNA2T00078324001,CDY13875,A0A078FHG3
GSBRNA2T00078298001,CDY13851,A0A078FL38
GSBRNA2T00078288001,CDY13841,A0A078FL26
GSBRNA2T00078212001,CDY13777,A0A078FLA2
GSBRNA2T00078181001,CDY13748,A0A078FN04
GSBRNA2T00078197001,CDY13764,A0A078FLF8
GSBRNA2T00078316001,CDY13868,A0A078FND6
GSBRNA2T00078317001,CDY13869,A0A078FLS1
GSBRNA2T00078216001,CDY13780,A0A078FH73
GSBRNA2T00078233001,CDY13794,A0A078FLJ5
GSBRNA2T00078234001,CDY13795,A0A078FH84
GSBRNA2T00078271001,CDY13826,A0A078FL06
GSBRNA2T00078211001,CDY13776,A0A078FKU4
GSBRNA2T00078336001,CDY13885,A0A078FHH2
GSBRNA2T00078184001,CDY13751,A0A078FKR5
GSBRNA2T00078225001,CDY13788,A0A078FN49
GSBRNA2T00078183001,CDY13750,A0A078FH49
GSBRNA2T00078257001,CDY13815,A0A078FHA0
GSBRNA2T00078218001,CDY13782,A0A078FLA9
GSBRNA2T00078337001,CDY13886,A0A078FL81
GSBRNA2T00078173001,CDY13740,A0A078FH40
GSBRNA2T00078304001,CDY13857,A0A078FLI7
GSBRNA2T00078287001,CDY13840,A0A078FHC8
GSBRNA2T00078209001,CDY13774,B7U487
GSBRNA2T00078209001,CDY13774,B7U488
GSBRNA2T00078209001,CDY13774,A0A078FLH0
GSBRNA2T00078231001,CDY13792,A0A078FLC0
GSBRNA2T00078241001,CDY13801,A0A078FKX4
GSBRNA2T00078328001,CDY13878,A0A078FNF0
GSBRNA2T00078248001,CDY13807,A0A078FLD2
GSBRNA2T00078293001,CDY13846,A0A078FL33
GSBRNA2T00078344001,CDY13892,A0A078FLN0
GSBRNA2T00078206001,CDY13773,A0A078FN34
GSBRNA2T00078309001,CDY13861,A0A078FL49
GSBRNA2T00078227001,CDY13790,A0A078FH81
GSBRNA2T00078289001,CDY13842,A0A078FLG8
GSBRNA2T00078214001,CDY13778,A0A078FN39
GSBRNA2T00078261001,CDY13819,A0A078FLM0
GSBRNA2T00078302001,CDY13855,A0A078FHE5
GSBRNA2T00078205001,CDY13772,A0A078FL99
GSBRNA2T00078221001,CDY13784,A0A078FLI4
GSBRNA2T00078279001,CDY13833,A0A078FN94
GSBRNA2T00078175001,CDY13742,A0A078FL76
GSBRNA2T00078174001,CDY13741,A0A078FKQ5
GSBRNA2T00078305001,CDY13858,A0A078FNC4
GSBRNA2T00078189001,CDY13756,A0A078FKS0
GSBRNA2T00078300001,CDY13853,A0A078FNB7
GSBRNA2T00078171001,CDY13739,A0A078FLD8
GSBRNA2T00078339001,CDY13887,A0A078FLM2
GSBRNA2T00078176001,CDY13743,A0A078FN02
GSBRNA2T00078267001,CDY13824,A0A078FLM7
GSBRNA2T00078313001,CDY13865,A0A078FHF5
GSBRNA2T00078263001,CDY13821,A0A078FL00
GSBRNA2T00078240001,CDY13800,A0A078FH87
GSBRNA2T00078342001,CDY13890,A0A078FHH6
GSBRNA2T00078179001,CDY13746,H9XGX0
GSBRNA2T00078179001,CDY13746,I6SWI6
GSBRNA2T00078179001,CDY13746,I6TN85
GSBRNA2T00078179001,CDY13746,I6TS50
GSBRNA2T00078179001,CDY13746,A0A078FKR1
GSBRNA2T00078199001,CDY13766,A0A078FKS9
GSBRNA2T00078222001,CDY13785,A0A078FH76
GSBRNA2T00078182001,CDY13749,A0A078FLE4
GSBRNA2T00078299001,CDY13852,A0A078FLI1
GSBRNA2T00078296001,CDY13849,A0A078FLQ5
GSBRNA2T00078235001,CDY13796,A0A078FKW8
