arabidopsis,tomato,Group Number
AT1G61420,Solyc03g006730.3,OG0000185
AT1G61490,Solyc03g006720.1,OG0000185
AT1G61490,Solyc03g006730.3,OG0000185
AT1G61400,Solyc03g006720.1,OG0000185
AT1G61400,Solyc03g006730.3,OG0000185
AT1G61360,Solyc03g006720.1,OG0000185
AT1G61360,Solyc03g006730.3,OG0000185
AT1G61370,Solyc03g006720.1,OG0000185
AT1G61370,Solyc03g006730.3,OG0000185
AT1G61380,Solyc03g006720.1,OG0000185
AT1G61380,Solyc03g006730.3,OG0000185
AT1G11280,Solyc03g006720.1,OG0000185
AT1G11280,Solyc03g006730.3,OG0000185
AT1G61475,Solyc03g006720.1,OG0000185
AT1G61475,Solyc03g006730.3,OG0000185
AT1G61390,Solyc03g006720.1,OG0000185
AT1G61390,Solyc03g006730.3,OG0000185
AT1G61440,Solyc03g006720.1,OG0000185
AT1G61440,Solyc03g006730.3,OG0000185
AT1G61460,Solyc03g006720.1,OG0000185
AT1G61460,Solyc03g006730.3,OG0000185
AT3G47640,Solyc03g116340.3,OG0010740
AT1G03180,Solyc09g065110.4,OG0010323
AT1G55190,Solyc01g089880.3,OG0001139
AT1G55190,Solyc03g121460.1,OG0001139
AT1G55190,Solyc01g089890.3,OG0001139
AT3G13710,Solyc01g089880.3,OG0001139
AT3G13710,Solyc03g121460.1,OG0001139
AT3G13710,Solyc01g089890.3,OG0001139
AT3G13720,Solyc01g089880.3,OG0001139
AT3G13720,Solyc03g121460.1,OG0001139
AT3G13720,Solyc01g089890.3,OG0001139
AT5G14530,Solyc12g035360.2,OG0012058
AT3G01440,Solyc10g006530.4,OG0011269
AT2G37590,Solyc11g066050.1,OG0003956
AT2G37590,Solyc06g076030.3,OG0003956
AT5G02230,Solyc05g011880.3,OG0005820
AT5G02230,Solyc09g010940.4,OG0005820
AT5G62920,Solyc03g113720.3,OG0001675
AT5G62920,Solyc03g044662.1,OG0001675
AT5G62920,Solyc05g006420.3,OG0001675
AT3G48100,Solyc03g113720.3,OG0001675
AT3G48100,Solyc03g044662.1,OG0001675
AT3G48100,Solyc05g006420.3,OG0001675
AT3G23300,Solyc09g090190.3,OG0002323
AT3G23300,Solyc03g005600.3,OG0002323
AT4G14360,Solyc09g090190.3,OG0002323
AT4G14360,Solyc03g005600.3,OG0002323
AT4G18100,Solyc02g070310.3,OG0008067
AT4G32010,Solyc10g075030.3,OG0008413
AT5G01230,Solyc09g014320.4,OG0012238
AT5G40040,Solyc07g007880.1,OG0005541
AT3G28500,Solyc07g007880.1,OG0005541
AT4G17580,Solyc08g077980.4,OG0002312
AT5G47120,Solyc08g077980.4,OG0002312
AT5G47130,Solyc08g077980.4,OG0002312
AT1G31690,Solyc09g090490.3,OG0001307
AT2G35612,Solyc09g090490.3,OG0001307
AT1G31710,Solyc09g090490.3,OG0001307
AT1G31670,Solyc09g090490.3,OG0001307
AT4G33280,Solyc02g090170.3,OG0001021
AT4G33280,Solyc01g108930.3,OG0001021
AT4G33280,Solyc02g032080.2,OG0001021
AT4G33280,Solyc04g079590.3,OG0001021
AT4G33280,Solyc01g079560.3,OG0001021
AT5G28950,Solyc06g010040.3,OG0005809
AT5G28950,Solyc12g042485.1,OG0005809
AT3G14880,Solyc07g062380.1,OG0005220
AT3G14880,Solyc12g014300.3,OG0005220
AT2G19940,Solyc01g108660.4,OG0007131
AT3G27650,Solyc02g086480.1,OG0011413
AT1G20200,Solyc01g111700.2,OG0001584
AT1G20200,Solyc04g056480.2,OG0001584
AT1G20200,Solyc01g111710.4,OG0001584
AT1G75990,Solyc01g111700.2,OG0001584
AT1G75990,Solyc04g056480.2,OG0001584
AT1G75990,Solyc01g111710.4,OG0001584
AT2G32090,Solyc09g082115.1,OG0007316
AT5G56890,Solyc07g039340.4,OG0006118
AT5G56890,Solyc03g121610.3,OG0006118
AT2G28815,Solyc00g500077.1,OG0001882
AT2G28815,Solyc00g500032.1,OG0001882
ATCG00790,Solyc00g500077.1,OG0001882
ATCG00790,Solyc00g500032.1,OG0001882
AT4G19985,Solyc05g052170.4,OG0007901
AT4G21870,Solyc02g080410.3,OG0008021
AT1G26120,Solyc05g010050.3,OG0010414
AT3G13900,Solyc06g062780.4,OG0000788
AT3G13900,Solyc03g121810.2,OG0000788
AT3G13900,Solyc12g044920.3,OG0000788
AT1G54280,Solyc06g062780.4,OG0000788
AT1G54280,Solyc03g121810.2,OG0000788
AT1G54280,Solyc12g044920.3,OG0000788
AT1G72700,Solyc06g062780.4,OG0000788
AT1G72700,Solyc03g121810.2,OG0000788
AT1G72700,Solyc12g044920.3,OG0000788
AT1G17500,Solyc06g062780.4,OG0000788
AT1G17500,Solyc03g121810.2,OG0000788
AT1G17500,Solyc12g044920.3,OG0000788
AT2G01755,Solyc03g006540.3,OG0007531
AT1G33780,Solyc11g030710.2,OG0009555
AT3G60590,Solyc01g090900.3,OG0011659
AT3G23620,Solyc10g083600.2,OG0011642
AT1G47670,Solyc04g079560.3,OG0009679
AT3G20270,Solyc07g065010.4,OG0004607
AT1G04970,Solyc07g065010.4,OG0004607
AT3G03570,Solyc01g081030.4,OG0011928
AT1G44414,Solyc06g060300.1,OG0008902
AT3G22450,Solyc03g005180.1,OG0011454
AT5G09360,Solyc04g072280.3,OG0012829
AT5G02410,Solyc09g010770.3,OG0012730
AT4G25000,Solyc04g078930.4,OG0004465
AT4G25000,Solyc03g095710.4,OG0004465
AT2G23380,Solyc02g093190.3,OG0003823
AT2G23380,Solyc03g044380.3,OG0003823
AT1G53440,Solyc12g150105.1,OG0002751
AT1G53440,Solyc12g014350.3,OG0002751
AT1G53430,Solyc12g150105.1,OG0002751
AT1G53430,Solyc12g014350.3,OG0002751
AT4G29070,Solyc01g008780.3,OG0008683
AT3G25230,Solyc09g057660.3,OG0005416
AT3G25230,Solyc06g083190.4,OG0005416
AT1G52315,Solyc03g120120.3,OG0000757
AT1G52315,Solyc12g043150.3,OG0000757
AT1G52315,Solyc06g066690.4,OG0000757
AT1G52315,Solyc07g022860.4,OG0000757
AT4G32350,Solyc03g120120.3,OG0000757
AT4G32350,Solyc12g043150.3,OG0000757
AT4G32350,Solyc06g066690.4,OG0000757
AT4G32350,Solyc07g022860.4,OG0000757
AT1G79910,Solyc03g120120.3,OG0000757
AT1G79910,Solyc12g043150.3,OG0000757
AT1G79910,Solyc06g066690.4,OG0000757
AT1G79910,Solyc07g022860.4,OG0000757
AT4G35980,Solyc02g083650.3,OG0008240
AT5G01300,Solyc09g005060.3,OG0013286
AT5G04490,Solyc03g071720.4,OG0013495
AT2G20890,Solyc07g054820.4,OG0007095
AT3G27210,Solyc02g094030.3,OG0002890
AT3G27210,Solyc03g005030.3,OG0002890
AT5G40860,Solyc02g094030.3,OG0002890
AT5G40860,Solyc03g005030.3,OG0002890
AT5G20740,Solyc07g042390.3,OG0005971
AT5G20740,Solyc12g009270.1,OG0005971
AT4G37920,Solyc02g091640.3,OG0007766
AT1G12064,Solyc04g014750.1,OG0009405
AT1G76250,Solyc12g094550.2,OG0009788
AT3G05960,Solyc06g054270.3,OG0000832
AT3G05960,Solyc01g010530.1,OG0000832
AT3G05960,Solyc03g005150.3,OG0000832
AT3G05960,Solyc04g051160.1,OG0000832
AT3G05960,Solyc03g005140.2,OG0000832
AT5G26250,Solyc06g054270.3,OG0000832
AT5G26250,Solyc01g010530.1,OG0000832
AT5G26250,Solyc03g005150.3,OG0000832
AT5G26250,Solyc04g051160.1,OG0000832
AT5G26250,Solyc03g005140.2,OG0000832
AT3G02300,Solyc02g089220.4,OG0011997
AT5G53770,Solyc10g006990.3,OG0013665
AT3G57890,Solyc03g053120.1,OG0002054
AT3G57890,Solyc10g080440.2,OG0002054
AT2G42230,Solyc03g053120.1,OG0002054
AT2G42230,Solyc10g080440.2,OG0002054
AT5G18400,Solyc03g119420.3,OG0005816
AT5G18400,Solyc08g075730.3,OG0005816
AT1G61200,Solyc02g086930.4,OG0002811
AT1G20280,Solyc02g086930.4,OG0002811
AT3G01470,Solyc02g086930.4,OG0002811
AT3G10700,Solyc09g031890.3,OG0002853
AT3G10700,Solyc07g014640.3,OG0002853
AT3G10700,Solyc09g031880.3,OG0002853
AT2G43630,Solyc04g054460.3,OG0003951
AT3G59640,Solyc04g054460.3,OG0003951
AT3G06770,Solyc09g075460.3,OG0001676
AT3G06770,Solyc06g009790.4,OG0001676
AT5G49215,Solyc09g075460.3,OG0001676
AT5G49215,Solyc06g009790.4,OG0001676
AT3G16850,Solyc09g075460.3,OG0001676
AT3G16850,Solyc06g009790.4,OG0001676
AT1G61900,Solyc03g031680.3,OG0005158
AT1G61900,Solyc02g080500.3,OG0005158
AT1G55630,Solyc01g097730.4,OG0004759
AT3G60050,Solyc01g097730.4,OG0004759
AT1G63110,Solyc08g080420.4,OG0004804
AT1G12730,Solyc08g080420.4,OG0004804
AT4G39880,Solyc11g011140.2,OG0008522
AT3G56210,Solyc06g050837.1,OG0005258
AT3G56210,Solyc02g076790.4,OG0005258
AT3G51660,Solyc10g085350.2,OG0010859
AT4G16444,Solyc02g038815.1,OG0004426
AT4G16444,Solyc02g082710.3,OG0004426
AT1G26530,Solyc03g121130.3,OG0003461
AT2G46230,Solyc03g121130.3,OG0003461
AT1G05430,Solyc06g054140.4,OG0004488
AT1G05430,Solyc09g082160.4,OG0004488
AT1G52730,Solyc06g052000.1,OG0002664
AT1G52730,Solyc03g120010.4,OG0002664
AT3G15610,Solyc06g052000.1,OG0002664
AT3G15610,Solyc03g120010.4,OG0002664
AT3G28660,Solyc02g087610.1,OG0005439
AT3G28640,Solyc02g087610.1,OG0005439
AT3G22250,Solyc12g006430.3,OG0011536
AT4G29720,Solyc12g008850.3,OG0001427
AT4G29720,Solyc05g018880.1,OG0001427
AT4G29720,Solyc07g039310.1,OG0001427
AT4G29720,Solyc03g007160.1,OG0001427
AT2G21800,Solyc04g051490.3,OG0003617
AT2G22140,Solyc04g051490.3,OG0003617
AT1G61030,Solyc02g078560.4,OG0004935
AT1G11060,Solyc02g078560.4,OG0004935
AT4G00231,Solyc02g080650.3,OG0007699
AT3G17930,Solyc05g006440.4,OG0011496
AT1G29030,Solyc10g008800.4,OG0001963
AT3G19515,Solyc10g008800.4,OG0001963
AT2G34040,Solyc10g008800.4,OG0001963
AT1G79760,Solyc09g018180.3,OG0004995
AT1G79760,Solyc03g120970.3,OG0004995
AT1G79710,Solyc06g068560.3,OG0008756
AT5G48450,Solyc09g055930.3,OG0012460
AT1G08840,Solyc01g088380.3,OG0010487
AT4G30130,Solyc07g047830.3,OG0003697
AT2G19090,Solyc07g047830.3,OG0003697
AT4G37830,Solyc03g043850.3,OG0004167
AT4G37830,Solyc02g091880.4,OG0004167
AT3G12960,Solyc07g066400.1,OG0011851
AT2G37310,Solyc09g007050.1,OG0007456
AT5G62600,Solyc06g071200.3,OG0013147
AT1G21910,Solyc11g012980.1,OG0002586
AT1G44830,Solyc11g012980.1,OG0002586
AT1G77640,Solyc11g012980.1,OG0002586
ATCG01090,Solyc11g021220.2,OG0001883
ATCG01090,Solyc01g086880.3,OG0001883
ATCG01090,Solyc03g013615.1,OG0001883
AT1G71340,Solyc11g045040.2,OG0010390
AT5G02160,Solyc10g086570.3,OG0013548
AT5G22750,Solyc11g066790.2,OG0013459
AT2G46200,Solyc01g095230.4,OG0006505
AT3G43860,Solyc06g066120.3,OG0010844
AT4G29410,Solyc06g062500.4,OG0001344
AT4G29410,Solyc03g121330.3,OG0001344
AT4G29410,Solyc12g044720.2,OG0001344
AT2G19730,Solyc06g062500.4,OG0001344
AT2G19730,Solyc03g121330.3,OG0001344
AT2G19730,Solyc12g044720.2,OG0001344
AT2G25150,Solyc01g005900.2,OG0000703
AT2G25150,Solyc04g079720.4,OG0000703
AT1G28680,Solyc01g005900.2,OG0000703
AT1G28680,Solyc04g079720.4,OG0000703
AT3G47170,Solyc01g005900.2,OG0000703
AT3G47170,Solyc04g079720.4,OG0000703
AT5G07080,Solyc01g005900.2,OG0000703
AT5G07080,Solyc04g079720.4,OG0000703
AT2G23510,Solyc01g005900.2,OG0000703
AT2G23510,Solyc04g079720.4,OG0000703
AT5G11270,Solyc08g061140.3,OG0012566
AT1G80420,Solyc06g066780.3,OG0010096
AT1G54830,Solyc01g079870.4,OG0004711
AT1G08970,Solyc01g079870.4,OG0004711
AT1G57600,Solyc04g055190.4,OG0009090
AT2G07360,Solyc05g025750.3,OG0006836
AT1G71840,Solyc07g008860.3,OG0010345
AT4G01560,Solyc11g066280.3,OG0008063
AT5G11030,Solyc01g094670.4,OG0012253
AT4G25160,Solyc03g093450.3,OG0001433
AT4G25160,Solyc05g051610.3,OG0001433
AT5G61550,Solyc03g093450.3,OG0001433
AT5G61550,Solyc05g051610.3,OG0001433
AT5G51270,Solyc03g093450.3,OG0001433
AT5G51270,Solyc05g051610.3,OG0001433
AT2G21860,Solyc04g051610.3,OG0006921
AT1G76980,Solyc08g080860.4,OG0002693
AT1G76980,Solyc06g059860.3,OG0002693
AT1G21390,Solyc08g080860.4,OG0002693
AT1G21390,Solyc06g059860.3,OG0002693
AT5G62720,Solyc03g113280.3,OG0005372
AT3G47980,Solyc03g113280.3,OG0005372
AT5G09500,Solyc01g058060.1,OG0000446
AT5G09500,Solyc12g038950.3,OG0000446
AT5G09500,Solyc02g082000.3,OG0000446
AT5G09500,Solyc09g083370.3,OG0000446
AT5G43640,Solyc01g058060.1,OG0000446
AT5G43640,Solyc12g038950.3,OG0000446
AT5G43640,Solyc02g082000.3,OG0000446
AT5G43640,Solyc09g083370.3,OG0000446
AT1G33850,Solyc01g058060.1,OG0000446
AT1G33850,Solyc12g038950.3,OG0000446
AT1G33850,Solyc02g082000.3,OG0000446
AT1G33850,Solyc09g083370.3,OG0000446
AT1G04270,Solyc01g058060.1,OG0000446
AT1G04270,Solyc12g038950.3,OG0000446
AT1G04270,Solyc02g082000.3,OG0000446
AT1G04270,Solyc09g083370.3,OG0000446
AT5G09510,Solyc01g058060.1,OG0000446
AT5G09510,Solyc12g038950.3,OG0000446
AT5G09510,Solyc02g082000.3,OG0000446
AT5G09510,Solyc09g083370.3,OG0000446
AT5G09490,Solyc01g058060.1,OG0000446
AT5G09490,Solyc12g038950.3,OG0000446
AT5G09490,Solyc02g082000.3,OG0000446
AT5G09490,Solyc09g083370.3,OG0000446
AT3G01850,Solyc05g007260.3,OG0004919
AT1G63290,Solyc05g007260.3,OG0004919
AT4G37860,Solyc02g091730.3,OG0004444
AT4G37860,Solyc03g043760.4,OG0004444
AT2G20760,Solyc07g054180.4,OG0002045
AT2G20760,Solyc03g006510.4,OG0002045
AT2G20760,Solyc02g078540.4,OG0002045
AT4G36630,Solyc02g085220.4,OG0004215
AT4G36630,Solyc07g056660.4,OG0004215
AT1G64350,Solyc08g082100.3,OG0008822
AT5G48930,Solyc03g117600.3,OG0013011
AT1G72030,Solyc11g020000.1,OG0005062
AT1G72030,Solyc03g025710.3,OG0005062
AT3G14225,Solyc06g064970.4,OG0000162
AT3G14225,Solyc04g028470.2,OG0000162
AT3G14225,Solyc11g051060.2,OG0000162
AT3G14225,Solyc11g051120.3,OG0000162
AT3G14225,Solyc01g109020.3,OG0000162
AT3G14225,Solyc06g065010.4,OG0000162
AT3G14225,Solyc06g064990.2,OG0000162
AT3G14225,Solyc06g064960.3,OG0000162
AT3G14225,Solyc11g051100.3,OG0000162
AT3G14225,Solyc06g064980.3,OG0000162
AT3G14225,Solyc04g024840.3,OG0000162
AT3G14225,Solyc11g021040.3,OG0000162
AT3G14225,Solyc12g049550.2,OG0000162
AT1G53990,Solyc06g064970.4,OG0000162
AT1G53990,Solyc04g028470.2,OG0000162
AT1G53990,Solyc11g051060.2,OG0000162
AT1G53990,Solyc11g051120.3,OG0000162
AT1G53990,Solyc01g109020.3,OG0000162
AT1G53990,Solyc06g065010.4,OG0000162
AT1G53990,Solyc06g064990.2,OG0000162
AT1G53990,Solyc06g064960.3,OG0000162
AT1G53990,Solyc11g051100.3,OG0000162
AT1G53990,Solyc06g064980.3,OG0000162
AT1G53990,Solyc04g024840.3,OG0000162
AT1G53990,Solyc11g021040.3,OG0000162
AT1G53990,Solyc12g049550.2,OG0000162
AT1G53940,Solyc06g064970.4,OG0000162
AT1G53940,Solyc04g028470.2,OG0000162
AT1G53940,Solyc11g051060.2,OG0000162
AT1G53940,Solyc11g051120.3,OG0000162
AT1G53940,Solyc01g109020.3,OG0000162
AT1G53940,Solyc06g065010.4,OG0000162
AT1G53940,Solyc06g064990.2,OG0000162
AT1G53940,Solyc06g064960.3,OG0000162
AT1G53940,Solyc11g051100.3,OG0000162
AT1G53940,Solyc06g064980.3,OG0000162
AT1G53940,Solyc04g024840.3,OG0000162
AT1G53940,Solyc11g021040.3,OG0000162
AT1G53940,Solyc12g049550.2,OG0000162
AT1G53920,Solyc06g064970.4,OG0000162
AT1G53920,Solyc04g028470.2,OG0000162
AT1G53920,Solyc11g051060.2,OG0000162
AT1G53920,Solyc11g051120.3,OG0000162
AT1G53920,Solyc01g109020.3,OG0000162
AT1G53920,Solyc06g065010.4,OG0000162
AT1G53920,Solyc06g064990.2,OG0000162
AT1G53920,Solyc06g064960.3,OG0000162
AT1G53920,Solyc11g051100.3,OG0000162
AT1G53920,Solyc06g064980.3,OG0000162
AT1G53920,Solyc04g024840.3,OG0000162
AT1G53920,Solyc11g021040.3,OG0000162
AT1G53920,Solyc12g049550.2,OG0000162
AT5G40990,Solyc06g064970.4,OG0000162
AT5G40990,Solyc04g028470.2,OG0000162
AT5G40990,Solyc11g051060.2,OG0000162
AT5G40990,Solyc11g051120.3,OG0000162
AT5G40990,Solyc01g109020.3,OG0000162
AT5G40990,Solyc06g065010.4,OG0000162
AT5G40990,Solyc06g064990.2,OG0000162
AT5G40990,Solyc06g064960.3,OG0000162
AT5G40990,Solyc11g051100.3,OG0000162
AT5G40990,Solyc06g064980.3,OG0000162
AT5G40990,Solyc04g024840.3,OG0000162
AT5G40990,Solyc11g021040.3,OG0000162
AT5G40990,Solyc12g049550.2,OG0000162
AT1G53970,Solyc06g064970.4,OG0000162
AT1G53970,Solyc04g028470.2,OG0000162
AT1G53970,Solyc11g051060.2,OG0000162
AT1G53970,Solyc11g051120.3,OG0000162
AT1G53970,Solyc01g109020.3,OG0000162
AT1G53970,Solyc06g065010.4,OG0000162
AT1G53970,Solyc06g064990.2,OG0000162
AT1G53970,Solyc06g064960.3,OG0000162
AT1G53970,Solyc11g051100.3,OG0000162
AT1G53970,Solyc06g064980.3,OG0000162
AT1G53970,Solyc04g024840.3,OG0000162
AT1G53970,Solyc11g021040.3,OG0000162
AT1G53970,Solyc12g049550.2,OG0000162
AT5G21170,Solyc12g099970.2,OG0012219
AT3G22830,Solyc02g079180.1,OG0001165
AT3G22830,Solyc02g078340.4,OG0001165
AT3G22830,Solyc09g082670.3,OG0001165
AT3G22830,Solyc06g053950.3,OG0001165
AT3G22830,Solyc06g053960.3,OG0001165
AT3G28420,Solyc02g087440.4,OG0010691
AT1G33470,Solyc11g044470.3,OG0009601
AT4G10930,Solyc12g055910.3,OG0008614
AT1G80010,Solyc06g068210.3,OG0004927
AT1G80010,Solyc05g014930.1,OG0004927
AT3G06980,Solyc11g045180.3,OG0011771
AT3G57450,Solyc01g087570.2,OG0001156
AT3G57450,Solyc02g071460.2,OG0001156
AT3G57450,Solyc04g015700.1,OG0001156
AT3G57450,Solyc01g087580.3,OG0001156
AT3G57450,Solyc08g044540.1,OG0001156
AT2G47910,Solyc07g007280.4,OG0006502
AT4G29390,Solyc08g076340.3,OG0001308
AT4G29390,Solyc12g008700.3,OG0001308
AT5G56670,Solyc08g076340.3,OG0001308
AT5G56670,Solyc12g008700.3,OG0001308
AT2G19750,Solyc08g076340.3,OG0001308
AT2G19750,Solyc12g008700.3,OG0001308
AT2G39180,Solyc09g007750.4,OG0003395
AT3G09780,Solyc09g007750.4,OG0003395
AT1G24510,Solyc05g013990.3,OG0008790
AT4G21170,Solyc02g080170.1,OG0008578
AT1G62780,Solyc08g079240.4,OG0010105
AT5G65140,Solyc05g051880.4,OG0003119
AT5G65140,Solyc04g054930.3,OG0003119
AT5G10100,Solyc05g051880.4,OG0003119
AT5G10100,Solyc04g054930.3,OG0003119
AT4G09420,Solyc05g024360.1,OG0000016
AT4G09420,Solyc12g096900.2,OG0000016
AT4G09420,Solyc12g096890.1,OG0000016
AT4G09420,Solyc01g008800.3,OG0000016
AT4G09420,Solyc02g032250.1,OG0000016
AT4G09420,Solyc09g092410.4,OG0000016
AT4G09420,Solyc11g013750.3,OG0000016
AT4G09420,Solyc07g055620.2,OG0000016
AT4G09420,Solyc05g007850.2,OG0000016
AT4G09420,Solyc02g032240.1,OG0000016
AT4G09420,Solyc04g025590.1,OG0000016
AT4G09420,Solyc12g097000.2,OG0000016
AT4G09420,Solyc12g098190.2,OG0000016
AT4G09420,Solyc12g098200.2,OG0000016
AT4G09420,Solyc04g007320.3,OG0000016
AT4G09420,Solyc01g014240.1,OG0000016
AT4G09420,Solyc05g024370.1,OG0000016
AT4G09420,Solyc04g056570.3,OG0000016
AT4G09420,Solyc12g097020.2,OG0000016
AT4G09420,Solyc04g025580.3,OG0000016
AT4G09420,Solyc12g044930.3,OG0000016
AT4G09420,Solyc04g056710.3,OG0000016
AT4G09420,Solyc04g056680.2,OG0000016
AT4G09420,Solyc06g065140.3,OG0000016
AT4G09420,Solyc02g032235.1,OG0000016
AT4G09420,Solyc02g032650.3,OG0000016
AT4G09420,Solyc01g102840.3,OG0000016
AT4G09420,Solyc12g096880.3,OG0000016
AT4G09420,Solyc11g011350.3,OG0000016
AT4G09420,Solyc07g055390.1,OG0000016
AT4G09420,Solyc08g005510.3,OG0000016
AT4G09420,Solyc07g055380.1,OG0000016
AT4G09420,Solyc05g024300.1,OG0000016
AT4G09420,Solyc12g097010.1,OG0000016
AT4G09420,Solyc02g032200.4,OG0000016
AT4G09420,Solyc07g052785.1,OG0000016
AT4G09420,Solyc09g007710.3,OG0000016
AT4G09420,Solyc02g032230.1,OG0000016
AT4G09420,Solyc01g014840.3,OG0000016
AT4G09420,Solyc02g082050.3,OG0000016
AT4G09420,Solyc07g052770.2,OG0000016
AT4G09420,Solyc11g011080.3,OG0000016
AT4G09420,Solyc00g500405.1,OG0000016
AT4G09420,Solyc01g102880.3,OG0000016
AT4G09420,Solyc06g065120.1,OG0000016
AT4G09420,Solyc06g065130.1,OG0000016
AT4G09420,Solyc05g053620.3,OG0000016
AT4G09420,Solyc07g052780.3,OG0000016
AT4G09420,Solyc07g052800.3,OG0000016
AT4G09420,Solyc11g062150.3,OG0000016
AT4G09420,Solyc01g102920.3,OG0000016
AT4G09420,Solyc11g062180.1,OG0000016
AT4G09420,Solyc11g011090.1,OG0000016
AT4G09420,Solyc01g113620.3,OG0000016
AT4G09420,Solyc07g052790.3,OG0000016
AT4G09420,Solyc04g056690.2,OG0000016
AT4G09420,Solyc07g055610.3,OG0000016
AT4G09420,Solyc05g024350.1,OG0000016
AT4G09420,Solyc01g066020.3,OG0000016
AT4G09420,Solyc01g102930.1,OG0000016
AT4G09420,Solyc01g102850.3,OG0000016
AT4G09420,Solyc00g500406.1,OG0000016
AT5G48780,Solyc05g024360.1,OG0000016
AT5G48780,Solyc12g096900.2,OG0000016
AT5G48780,Solyc12g096890.1,OG0000016
AT5G48780,Solyc01g008800.3,OG0000016
AT5G48780,Solyc02g032250.1,OG0000016
AT5G48780,Solyc09g092410.4,OG0000016
AT5G48780,Solyc11g013750.3,OG0000016
AT5G48780,Solyc07g055620.2,OG0000016
AT5G48780,Solyc05g007850.2,OG0000016
AT5G48780,Solyc02g032240.1,OG0000016
AT5G48780,Solyc04g025590.1,OG0000016
AT5G48780,Solyc12g097000.2,OG0000016
AT5G48780,Solyc12g098190.2,OG0000016
AT5G48780,Solyc12g098200.2,OG0000016
AT5G48780,Solyc04g007320.3,OG0000016
AT5G48780,Solyc01g014240.1,OG0000016
AT5G48780,Solyc05g024370.1,OG0000016
AT5G48780,Solyc04g056570.3,OG0000016
AT5G48780,Solyc12g097020.2,OG0000016
AT5G48780,Solyc04g025580.3,OG0000016
AT5G48780,Solyc12g044930.3,OG0000016
AT5G48780,Solyc04g056710.3,OG0000016
AT5G48780,Solyc04g056680.2,OG0000016
AT5G48780,Solyc06g065140.3,OG0000016
AT5G48780,Solyc02g032235.1,OG0000016
AT5G48780,Solyc02g032650.3,OG0000016
AT5G48780,Solyc01g102840.3,OG0000016
AT5G48780,Solyc12g096880.3,OG0000016
AT5G48780,Solyc11g011350.3,OG0000016
AT5G48780,Solyc07g055390.1,OG0000016
AT5G48780,Solyc08g005510.3,OG0000016
AT5G48780,Solyc07g055380.1,OG0000016
AT5G48780,Solyc05g024300.1,OG0000016
AT5G48780,Solyc12g097010.1,OG0000016
AT5G48780,Solyc02g032200.4,OG0000016
AT5G48780,Solyc07g052785.1,OG0000016
AT5G48780,Solyc09g007710.3,OG0000016
AT5G48780,Solyc02g032230.1,OG0000016
AT5G48780,Solyc01g014840.3,OG0000016
AT5G48780,Solyc02g082050.3,OG0000016
AT5G48780,Solyc07g052770.2,OG0000016
AT5G48780,Solyc11g011080.3,OG0000016
AT5G48780,Solyc00g500405.1,OG0000016
AT5G48780,Solyc01g102880.3,OG0000016
AT5G48780,Solyc06g065120.1,OG0000016
AT5G48780,Solyc06g065130.1,OG0000016
AT5G48780,Solyc05g053620.3,OG0000016
AT5G48780,Solyc07g052780.3,OG0000016
AT5G48780,Solyc07g052800.3,OG0000016
AT5G48780,Solyc11g062150.3,OG0000016
AT5G48780,Solyc01g102920.3,OG0000016
AT5G48780,Solyc11g062180.1,OG0000016
AT5G48780,Solyc11g011090.1,OG0000016
AT5G48780,Solyc01g113620.3,OG0000016
AT5G48780,Solyc07g052790.3,OG0000016
AT5G48780,Solyc04g056690.2,OG0000016
AT5G48780,Solyc07g055610.3,OG0000016
AT5G48780,Solyc05g024350.1,OG0000016
AT5G48780,Solyc01g066020.3,OG0000016
AT5G48780,Solyc01g102930.1,OG0000016
AT5G48780,Solyc01g102850.3,OG0000016
AT5G48780,Solyc00g500406.1,OG0000016
AT1G72930,Solyc05g024360.1,OG0000016
AT1G72930,Solyc12g096900.2,OG0000016
AT1G72930,Solyc12g096890.1,OG0000016
AT1G72930,Solyc01g008800.3,OG0000016
AT1G72930,Solyc02g032250.1,OG0000016
AT1G72930,Solyc09g092410.4,OG0000016
AT1G72930,Solyc11g013750.3,OG0000016
AT1G72930,Solyc07g055620.2,OG0000016
AT1G72930,Solyc05g007850.2,OG0000016
AT1G72930,Solyc02g032240.1,OG0000016
AT1G72930,Solyc04g025590.1,OG0000016
AT1G72930,Solyc12g097000.2,OG0000016
AT1G72930,Solyc12g098190.2,OG0000016
AT1G72930,Solyc12g098200.2,OG0000016
AT1G72930,Solyc04g007320.3,OG0000016
AT1G72930,Solyc01g014240.1,OG0000016
AT1G72930,Solyc05g024370.1,OG0000016
AT1G72930,Solyc04g056570.3,OG0000016
AT1G72930,Solyc12g097020.2,OG0000016
AT1G72930,Solyc04g025580.3,OG0000016
AT1G72930,Solyc12g044930.3,OG0000016
AT1G72930,Solyc04g056710.3,OG0000016
AT1G72930,Solyc04g056680.2,OG0000016
AT1G72930,Solyc06g065140.3,OG0000016
AT1G72930,Solyc02g032235.1,OG0000016
AT1G72930,Solyc02g032650.3,OG0000016
AT1G72930,Solyc01g102840.3,OG0000016
AT1G72930,Solyc12g096880.3,OG0000016
AT1G72930,Solyc11g011350.3,OG0000016
AT1G72930,Solyc07g055390.1,OG0000016
AT1G72930,Solyc08g005510.3,OG0000016
AT1G72930,Solyc07g055380.1,OG0000016
AT1G72930,Solyc05g024300.1,OG0000016
AT1G72930,Solyc12g097010.1,OG0000016
